9944	CRBP	바이오	4.23	0.71	1.74	코버스 파머슈티컬스 홀딩스	7.3500
9945	CRBU		1.62	0.58	0.83	카리부 바이오사이언시스	1.3450
9946	CRCT		0.31	3.06	22.75	크리컷	7.0852
9947	CRDF		0.93	3.36	3.84	카디프 온콜로지	3.5750
9948	CRDL		0.35	9.26	3.97	카르디올 테라퓨틱스	1.3700
9949	CRDO		0.28	24.63	322.98	크리도 테크놀로지 그룹 홀딩	89.7250
9950	CREG	상업 및 전문서비스	0.23	0.05	0.97	스마트 파워	0.2276
9951	CRESY	REIT's 및 부동산관리개발	1.75	0.73	6.24	크레수드(ADR)	10.9100
9952	CREV		0.02	0.84	131.34	카본 레볼루션	2.7450
9953	CRGO		0.33	1.75	6.93	프레이토스	2.3000
9954	CRGX		4.66	0.73	0.96	카고 테라퓨틱스	4.4700
9955	CRMD		0.23	6.83	51.42	코메딕스	11.5900
9956	CRML		1.96	4.27	1.79	크리티컬 메탈스	3.5100
9957	CRMT	도/소매	2.10	0.87	28.50	아메리카스 카 마트	59.7300
9958	CRNC		8.09	2.96	1.26	세렌스	10.2301
9959	CRNT	통신장비	0.26	1.34	9.88	세라건 네트웍스	2.5350
9960	CRNX	바이오	3.82	2.21	7.76	크리네틱스 파머슈티컬스	29.6200
9961	CRON	제약	0.13	0.71	15.39	크로노스 그룹	1.9650
9962	CROX	섬유의복 및 호화제품	16.32	3.04	6.55	크록스	106.7900
9963	CRSP	바이오	4.52	2.41	11.31	크리스퍼 테라퓨틱스	51.0950
9964	CRSR		0.93	1.67	10.48	커세어 게이밍	9.7100
9965	CRTO	미디어	2.45	1.24	10.09	크리테오(ADR)	24.7400
9966	CRUS	반도체 및 반도체장비	6.00	2.92	18.13	시러스 로직	108.8950
9967	CRVL	건강관리장비 및 서비스	1.83	16.28	55.75	코르벨	102.0400
9968	CRVO		2.17	1.47	2.70	체르보메드	5.8600
9969	CRVS	바이오	0.98	5.56	4.09	코르버스 파머슈티컬스	4.0200
9970	CRWD	인터넷소프트웨어 및 IT서비스	0.70	35.61	706.15	크라우드스트라이크 홀딩스	493.3900
9971	CRWS	섬유의복 및 호화제품	0.90	0.79	3.29	크라운 크래프츠	2.9600
9972	CSAI		0.49	5.27	4.67	클라우드어스트럭처	2.2800
9973	CSBR	바이오	0.45	19.17	16.99	챔피언스 온콜로지	7.6500
9974	CSCI		5.80	1.06	0.59	코사이언스 바이오파머	3.4100
9975	CSCO	통신장비	2.44	5.90	28.05	시스코 시스템즈	68.4421
9976	CSGP	상업 및 전문서비스	0.29	4.00	281.45	코스타 그룹	80.8900
9977	CSGS	인터넷소프트웨어 및 IT서비스	2.93	6.72	22.28	CSG 시스템스 인터내셔널	65.3600
9978	CSIQ	반도체 및 반도체장비	0.15	0.29	80.52	캐나디안 솔라	12.3122
9979	CSPI	인터넷소프트웨어 및 IT서비스	0.17	2.50	71.56	CSP	12.0150
9980	CSQ		1.74	1.11	10.53	CALAMOS STRATEGIC TR	18.2693
9981	CSTE	건설 및 건축제품	1.47	0.26	1.32	시저스톤	1.9400
9982	CSTL	바이오	0.20	1.31	100.98	캐슬 바이오사이언시스	20.0350
9983	CSWC	금융서비스	1.42	1.34	15.71	캐피털 사우스웨스트	22.3292
9984	CSWI	건설 및 건축제품	8.41	4.78	36.27	CSW 인더스트리얼스	305.1000
9985	CSX	운송인프라	1.68	5.17	19.98	CSX	33.5250
9986	CTAS	상업 및 전문서비스	4.31	18.97	50.08	신타스	215.8350
9987	CTBI	상업은행	4.78	1.27	11.48	커뮤니티 트러스트 뱅코프	54.9300
9988	CTKB		0.09	1.21	41.45	사이텍 바이오사이언시스	3.5850
9989	CTLP		0.79	3.34	13.85	칸타루프	11.0000
9990	CTMX	바이오	0.50	7.82	4.90	사이톰엑스 테라퓨틱스	2.4300
9991	CTNM		1.93	0.55	2.05	컨티늄 테라퓨틱스	3.9500
9992	CTNT		2.05	0.36	0.65	치타 넷 서플라이 서비스	1.3400
9993	CTOR		0.27	10.60	19.60	시티우스 온콜로지	5.2800
9994	CTRM	해운	0.90	0.04	2.42	캐스터 마리타임	2.1891
9995	CTRN	도/소매	4.66	2.52	7.08	시티 트렌즈	33.0050
9996	CTSH	인터넷소프트웨어 및 IT서비스	4.75	2.64	16.79	코그니전트 테크놀로지 솔루션스	79.7700
9997	CTSO	건강관리장비 및 서비스	0.29	4.21	3.41	사이토소벤츠	0.9798
