10009	의료·정밀기기	187.00	2.75	398.46	13.70	15540	003160	디아이
10010	섬유·의류	818.00	0.28	9.16	8.44	11060	003200	일신방직
10011	제약	242.00	1.03	21.04	7.90	13340	003220	대원제약
10012	음식료·담배	13160.00	12.17	36.86	46.11	1331000	003230	삼양식품
10013	화학	67361.00	0.27	5.36	7.63	1033000	003240	태광산업
10014	운송·창고	13.00	1.88	10.86	5.46	1792	003280	흥아해운
10015	비금속	63.00	0.34	4.69	0.48	18070	003300	한일홀딩스
10016	음식료·담배	58.00	0.78	7.83	9.75	1841	003310	대주산업
10017	화학	5105.00	3.31	10.81	36.48	55200	003350	한국화장품제조
10018	금융	402.00	0.35	41.19	5.86	9680	003380	하림지주
10019	증권	240.00	0.38	11.52	3.50	2765	003460	유화증권
10020	증권	43.00	0.46	10.76	2.27	3700	003470	유안타증권
10021	전기·가스	894.00	0.40	2.91	26.38	5580	003480	한진중공업홀딩스
10022	운송·창고	771.00	0.84	6.71	10.87	23950	003490	대한항공
10023	제약	7.00	4.65	326.43	1.37	2285	003520	영진약품
10024	증권	169.00	0.82	36.38	8.63	6440	003530	한화투자증권
10025	증권	846.00	0.64	15.58	9.29	25050	003540	대신증권
10026	금융	3619.00	0.48	23.12	8.50	82900	003550	LG
10027	오락·문화	-229.00	0.65	-2.72	-6.04	10760	003560	IHQ
10028	운송장비·부품	534.00	1.94	17.61	9.02	50900	003570	SNT다이내믹스
10029	유통	-95.00	1.40	-15.84	-21.27	2645	003580	HLB글로벌
10030	섬유·의류	134.00	0.90	242.78	6.07	4370	003610	방림
10031	운송장비·부품	15.00	0.51	21.63	0.84	3720	003620	KG모빌리티
10032	화학	30250.00	0.45	3.65	13.54	110500	003650	미창석유
10033	전기·전자	633.00	3.42	-47.90	6.56	131300	003670	포스코퓨처엠
10034	음식료·담배	457.00	0.44	11.38	4.25	5200	003680	한성기업
10035	보험	489.00	0.55	6.25	11.10	10150	003690	코리안리
10036	화학	64.00	1.70	16.29	11.82	3860	003720	삼영
10037	화학	124.00	1.14	7.31	10.15	5650	003780	진양산업
10038	기타제조	858.00	0.47	5.02	5.40	29850	003800	에이스침대
10039	화학	-1878.00	0.25	-71.73	-0.35	134700	003830	대한화섬
10040	제약	4.00	0.90	8.61	0.18	8440	003850	보령
10041	음식료·담배	143.00	0.86	2321.43	0.78	65000	003920	남양유업
10042	음식료·담배	1018.00	0.57	4.48	5.28	44900	003960	사조대림
10043	화학	1100.00	0.44	28.97	4.80	40850	004000	롯데정밀화학
10044	금속	-413.00	0.24	-401.15	-1.17	34900	004020	현대제철
10045	유통	1.00	0.27	13.62	0.35	354	004060	SG세계물산
10046	유통	30.00	1.18	26.36	0.98	14500	004080	신흥
10047	비금속	-42.00	0.89	13.53	-1.07	13910	004090	한국석유
10048	운송장비·부품	86.00	0.96	43.28	12.39	2640	004100	태양금속
10049	운송·창고	128.00	0.87	6.69	15.61	2855	004140	동방
10050	금융	95.00	0.24	70.52	2.73	3385	004150	한솔홀딩스
10051	유통	5889.00	0.42	17.47	5.41	191300	004170	신세계
10052	화학	49.00	0.41	2.48	1.87	4470	004250	NPC
10053	유통	1.00	0.36	9.04	0.17	1103	004270	남성
10054	제약	-18.00	1.11	-195.28	-0.70	3515	004310	현대약품
10055	운송·창고	1216.00	0.31	4.17	9.78	15490	004360	세방
10056	음식료·담배	8576.00	0.89	15.56	7.77	402500	004370	농심
10057	기계·장비	-325.00	1.05	136.44	-14.05	9960	004380	삼익THK
10058	음식료·담배	-8.00	2.77	-21.12	-12.02	169	004410	서울식품
10059	화학	202.00	0.41	6.80	2.57	12770	004430	송원산업
10060	비금속	-158.00	0.24	-31.77	-0.75	5020	004440	삼일씨엔에스
10061	금속	907.00	0.67	10.08	6.99	37500	004450	삼화왕관
10062	전기·전자	3391.00	0.66	5.83	12.78	70500	004490	세방전지
10063	종이·목재	-221.00	0.44	-3.74	-17.89	2205	004540	깨끗한나라
10064	금속	67.00	0.37	7.65	0.79	12570	004560	현대비앤지스틸
10065	유통	309.00	0.45	5.54	9.90	5910	004590	한국가구
10066	음식료·담배	385.00	0.64	7.51	10.68	10230	004650	창해에탄올
10067	전기·가스	20055.00	0.35	5.59	20.14	139700	004690	삼천리
10068	섬유·의류	1896.00	0.75	33.28	2.58	63100	004700	조광피혁
10069	전기·전자	324.00	0.52	30.48	11.23	6370	004710	한솔테크닉스
10070	제약	-40.00	0.32	28.76	-1.16	4400	004720	팜젠사이언스
10071	전기·전자	120.00	0.77	14.65	5.36	1758	004770	써니전자
10072	금속	724.00	0.41	5.35	7.87	3875	004780	대륙제관
10073	금융	3885.00	0.59	3.13	12.01	75400	004800	효성
10074	화학	132.00	1.05	15.30	9.60	6090	004830	덕성
